내용,결과,,긍정 댓글 수,부정 댓글 수,중립 댓글 수
대는 꽝 입니다 기회,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대중 민주당 지지자 만 죽자,34.99의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
정 기사 말 접종 한답니다 달도 못 기다립니까 넘기는 기다렸는데 달기 다리는 게 죽으라는 들립니까 인터넷 찾아보고 댓글 다세,34.08의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
정 기사 지금 미친 게 아닌 댁 이상하시네 요한 두 기다림 접종 할 못 참고 비판 질리니 인내심 가지세요,34.11의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
헛소리 약도 없는 억지 부리 지 마세요 만 기다림 접종 한답니다 접종 독려 할 땐 겁 먹는 미적 거리 더니 젠 늦은 접종 하는 죽이란다고 헛소리 해대 쯧쯧,34.22의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
원 접종 합니다 미 계약,33.8의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대가 부작용 제일 심함,34.56의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
걸리는 어차피 안 죽잖아 가지 말 클럽 가는 쳐 걸린,34.13의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
치사 율 낮 자녀,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대라 나도 추석 전 안 될 듯 싶은 생각 했으면 연말 하는 대보니 짠하네 기운 내는,34.17의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
고생 하신 코로나 극복 파이팅 합시다,34.09의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 수급 애쓰는 모든 분 감사 드리는,33.75의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
정 본부장 항상 건강하세요 감사한,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
감사한 진본 관계자 고생 많으십니다,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
애 당초 사회 활동 원 접종 병행 했어야 하는 보는 층 취약 하다고는 사회 활동 원인 대가 사회 활동 하는 연령 초기 병행 해서 맞는 해보는 하지 않았나 싶은 지금 델타 변 고 인도 였던 타국 람다 추가 나온다는 가능한 있는 지금 퍼지게 놔둔 건 이해한 가지 않은,34.62의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
애쓰시는 모든 거 감 드리는,34.12의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 살려다 만 믿는 살 길은 백신,34.04의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
맞는 온몸 두드러기 발진 응급실 다녀온 사람 많습니다 우리나라 일본 맞는 해주는,34.07의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
웃기는 게 예방접종 했으면서 대가 게 다시 생각 해보는 웃기는,34.34의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
유일한 해결 책 백신,33.84의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
예약 하는 일일 날짜 출생 들이 예약 먼저 하는 때문 뒤 예약 하는 사람 선택 가능한 줄어든 건 아닌,34.22의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
세 노 싫은 안 맞은 맞추겠다니 게 머 하는 짓 이냐 지 지층 아닌 죽으라는 거,35.81의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
대군 인도 화이자 맞는 사망 하는 아스 트 카 화이자 걸 맞은 하는,35.81의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
그냥 맞이 란 맞은 마시고 요즘 번역 되는 해외 사례 뉴스 확인 해보는 판단 하신 몸 거임,33.66의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
주민 번호 부제 해도 서버 다운 될 거 같은 게 가능할까 서버 폭주 불가피할 듯,34.24의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
월일 하는 건 아는 며칠,34.73의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 안 맞은 되는 부작용 땜 무서운데,36.86의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
접종 예약 하는,34.27의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
맞은 돼 타월 맞는 거 보고 걔네 증상 나타나는지 보고 판단 해보는,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
시행 이면 신청 쯤 맞으려나,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대가 능얀 센 백신,33.45의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
우왕,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
외 믿음 수 없는 나라 되는 버려서,34.01의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
진짜 답 없는 예약 했으면 화이자 바꾼 건 기밀 사항 자리 물러나세요 진짜 뻔뻔 자체,34.79의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 마련 말 하는 거 겠지,34.88의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
교차 접종 없애라 국민 백신 선택 할 수 있는 하라,35.17의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
약 바뀐다는 겁,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
계획 만 머 하는 백신 확보 안 되는 있구먼,35.09의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
진본 파이팅,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
나무 능 시키야,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
욕 먹는 하는,34.75의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
늦어,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
외국인 연도 월일 생백신 예방접종 예약 날 할 면 됐요 외국인 온라인 백신 예약 할 고 병원 연락 해서 백신 예약 할 면 안 됐요 아는 분 있는 면 댓글 줄세요,34.89의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
머리 염색 하소 그런다고 하는 게 아닌 할머니 얼굴 인 봤으면 좋겠음 물 주사 수혜자 수익 징글 나게 맞추려 하는 중국 돌파 감염 없는,34.29의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
점점 머리 세어 가시 몸 챙겨가며 하셔요,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
튼튼한 애 그냥 희생,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
탓 할 거리 만드는 놓는,35.51의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
퍼지게 내버려 둔 없는 거리 둬라 명 모이 지 마라 외출 자제 사람 많은 피해 주거장 창건 고 했음에도 안 지키는 인간 때문 퍼진 거구 오질 본 멀 해보는 합 나이 취약 계층 접종 하는 게 맞고요 전 세계 모든 국가 노 약자 접종 시 행 합니다 재난 상황 어린이 여성 노 약자 구조 하는 걸 보는 모르세요,35.23의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
하신 말씀 맞은 방역 수칙 안 지키는 다니는 사람 때문 퍼진 게 맞죠 말 요지 사회 활동 원 초기 병행 해서 맞혔으 면 최소 아닌 않나라고 생각 합니다 혈기 왕성 하는 초반 격리 단계 높여서 줄었으나 밖 튀어 나가는데 결과 로만 봐서도 답 나오지 않습니까,35.85의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
전 세계 우리나라 만큼 말 잘 듣는 방역 수칙 잘 따르고 개인 백신 접종 의지 높은 나라 없는 부족한 건 백신 뿐이죠 진작 전문가 말 무시 안 방역 타령 안 적극 확보 했으면 대란 안 일어났겠죠,34.4의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
고령 층 치명 률 높다 보는 먼저 접종 해서 낮추려는 거 아닙니까,33.87의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
최연식 맞은 고령자 위주 대부분 국가 진행 하는 고령자 취약 하는 관련 백신 먼저 맞히는 동의 합니다 위 본문 나온 있듯이 말 요지 고령자 배제 맞히라는 게 아닌 병행 하지 않나라고 의견 입니다 현재 대부분 확 진자 증가 사회 활동 원 경제 이유 개인 이유 나가서 걸리는 이지 않습니까,36.63의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
기사 보는 하루 예약 가능한 분량 분할 하여 같은 기회 가지도록 하는 대요,34.13의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
차 맞은 일정 지나간 큰 이상은 없는 남성 입니다 차가 문제 하는 나중 맞은 보는 알겠죠 제일 낳은 게 화이자 인 거 같은 나머지 잘 모르겠어요,34.54의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
국내 뉴스 만 보지 마시고 해외 뉴스 번역 되는 보시 고 본인 판단 하신 몸 거임,34.72의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
그러는 요하 거짓말 해서 못 믿게 음,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
런처 아저씨 원래 들어와야 할 물량 분 안 들어왔는데 헛소리 하실래요,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
런처 잼 날뛰네 잼 민아 발 뉴스 보렴 현실 알 거,34.62의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
지가 염색 비대 줄 아닌 시비 터,34.75의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
깨 수준 시비 잘 하는 주 특기 치,34.11의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
생명 지키는,35.54의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
짱 운동 하러 가야 지,34.16의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
억지로 맞은 몸 상태 잘 보고 맞은 죽는 기 질환 입니다,34.3의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
유통 기한 지난 백신 부작용 검사 개월 끝나는 백신,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 끝냈으면 좋은,34.26의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 이야기 하는 부작용 하는 뉴스 안 나오는 백신 만 맞은 건강 잘 챙기고 힘내세요 방역 수칙 마스크 필 잘 지키는 성숙한 국민 됩시다,37.5의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
마스크 꼭 쓰는 거리 기 지키는,35.54의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
와중 즈그 운동권 끼리 먹으려고 위원회 출범 수 법 뻔한 보여 구연,35.01의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
렉카 로나 좋은 치료받는 있는 한국,34.16의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
안 상태 보존 잘해야 지,34.07의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 접종 초 중등 백신 해주는,34.39의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
헬프 창 이라 차 맞는 어깨 조졌음 별 없는,34.01의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
학교 방문 해서 강제 접종 시키고 접종 거부 하는 새 기 집 온라인 수업,34.25의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
안 맞은,34.06의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
접종 사망 원인 기 질환 미접 종자 사망원인 코로나 임,33.85의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
안 끝남 말려 들지 폭정 통제 전 세계 시위,33.9의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
세월호 말 잘 들은 몰살 당함,34.96의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
공감 가는 글 입니다 맞으 라만 접종 률 만 올릴 생각 추후 조치 묵살 뭘 맞은 하는 건지 국민 실험 대상 아닌 말 솔직히 차 접종 기다리는 있는 저지 만 강요 싶진 않은,35.71의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
권 오상 상황 생각 심각함 접종 부모님 거리 둬야 게르 트 반 덴 보쉬 박사 로버트 말론 박사 마틴 꿀 프 박사 화이자 부사 장 이자 수석 인 박사 경 고함,34.22의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
가족 데리 고 중공 가는 공 꺼 맞은,33.81의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
중공 꺼가 안전하죠 유전 아니니 백신 동물 임상실험 안 끝낸 인류 역사상 처음 시도 된 처음 시도 된 긴급 승인 된 피 해보는,33.74의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
전 세계 코로나 종식 시킨 방법 중공 박멸 답 코로나 숙주 인 공 박멸 없이는 코로나 종식 없는,34.61의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
접종 완료 인디 상황 감염 늘어나면 미 접종 탓 물 백신 탓 인 걸리는,34.81의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 번 맞으려면 정말 많은 용감한 필요합니다 신청 놓는 하루 번 맞은 말 까를 고민 했으니까 개월 번 접종 권고 현 접종 률 절대 안 나오는 수치 생각 되는 치료받는 나오든 개인 위생 철저히 하여 치료받는 나오는 버티든 해보는 맞은 용감한 나질 않는 아마 대부분 그럴 입니다우한 폐렴 만드는 중국 전 세계 세균 테러 만행 저질렀습니다 뼈 저린 고통 느낄 입니다 글 성지 되길 기원 합니다,37.78의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
예고 되는 반발 심한 절대 법안 통과 안 된다는 거,34.11의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
저런 게 가능한 나라 면 진즉 역학 조사 통과 안 댈리엄찌,33.73의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
화이자 차 맞는 이틀 정도 몸살 알 고 멀쩡한 다행 생각 하루 완전한 누워 있는 아무렇게나 안 이불 속,34.23의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 부작용 없는 좋은 코로나 만만한 녀석 아닌,34.22의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
오후 안 맞은 걱정 맞은 걱정,34.66의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
독일 스물 스물 전체주의 가려고 하는,34.08의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
마스크 최후 보루 푸는 해안가,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
마스크 만 잘 쓰는 되는 않은,35.27의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
나도 백신 불신 맞은 걸리는 맞는 게 낮다 그러다 코로나 걸리는 본인 이외 주변 인도 피 해봅니다,36.77의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
안전한 백신 승인,33.45의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
끝 버티는 떠밀 려 억지로 화이자 맞은 지옥 맛봤음 차도 남았는데 맞은 되는 고민 됨,34.16의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
메르 겔 살 있는 가야 지 거기,34.32의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
휘발 성 백신 인증,33.45의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
화이자 차 맞았는데요 분 대기 타던 도중 분도 안 되는 호흡 곤란 와서 엉덩이 수사 맞았네요 그날 응급실 가는 검사 받았는데 정상 이후 호흡 곤란 와서 응급실 번 가는 외래 번 가는 역시 결과 정상 잠 잘 자고 싶지만 못 백신 맞은 치렀는데 회사 떠밀리 듯이 수 맞은 호흡 곤란 와서 번 쉬었더니 만 회사 서는 결근 하면 못 하는 된다고 하는 솔직히 짜증 나더라고요 맞은 싫은데 회사 맞은 하는 되는 그런 분위기 수 맞은 됐는데 일도 그만두게 생겼습니다 나라 회사 백신 맞는 아무런 도움 되는 언어 이럴 거 면 백신 강요 하는 화가 납니다,36.94의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
